Región;Comuna;Código postal
Ciudad de México;Azcapotzalco;02250
Ciudad de México;Gustavo A. Madero;07380
Ciudad de México;Gustavo A. Madero;07858
Ciudad de México;Iztacalco;08210
Ciudad de México;Benito Juárez;03620
Ciudad de México;Azcapotzalco;02950
Ciudad de México;Iztacalco;08220
Ciudad de México;Cuauhtémoc;06050
Ciudad de México;Iztacalco;08200
Ciudad de México;Cuauhtémoc;06860
Ciudad de México;Gustavo A. Madero;07880
Ciudad de México;Gustavo A. Madero;07470
Ciudad de México;Cuauhtémoc;06070
Ciudad de México;Benito Juárez;03560
Ciudad de México;Azcapotzalco;02870
Estado de México;Naucalpan de Juárez;53398
Ciudad de México;Venustiano Carranza;15320
Ciudad de México;Iztacalco;08230
Ciudad de México;Iztacalco;08720
Ciudad de México;Gustavo A. Madero;07754
Estado de México;Naucalpan de Juárez;53390
Ciudad de México;Venustiano Carranza;15100
Ciudad de México;Miguel Hidalgo;11830
Ciudad de México;Gustavo A. Madero;07820
Ciudad de México;Venustiano Carranza;15870
Ciudad de México;Miguel Hidalgo;11220
Ciudad de México;Iztacalco;08300
Estado de México;Naucalpan de Juárez;53950
Ciudad de México;Azcapotzalco;02240
Ciudad de México;Benito Juárez;03200
Ciudad de México;Álvaro Obregón;01130
Ciudad de México;Venustiano Carranza;15450
Ciudad de México;Gustavo A. Madero;07889
Ciudad de México;Gustavo A. Madero;07840
Ciudad de México;Azcapotzalco;02310
Ciudad de México;Azcapotzalco;02300
Estado de México;Naucalpan de Juárez;53910
Ciudad de México;Venustiano Carranza;15290
Ciudad de México;Miguel Hidalgo;11529
